ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
SS.SHF,20250425,12780.0,12755.0,12795.0,12810.0,12660.0,12680.0,12725.0,-75.0,-30.0,176753.0,1124926.44,129015.0,
SS.SHF,20250424,12790.0,12765.0,12770.0,12800.0,12710.0,12780.0,12755.0,15.0,-10.0,139543.0,890120.48,127394.0,
SS.SHF,20250423,12690.0,12740.0,12700.0,12830.0,12680.0,12790.0,12765.0,50.0,25.0,146037.0,932109.0,132737.0,
SS.SHF,20250422,12790.0,12770.0,12810.0,12820.0,12685.0,12690.0,12740.0,-80.0,-30.0,134890.0,859368.51,143261.0,
SS.SHF,20250421,12780.0,12800.0,12760.0,12825.0,12720.0,12790.0,12770.0,-10.0,-30.0,136003.0,868707.16,137093.0,
SS.SHF,20250418,12845.0,12860.0,12865.0,12865.0,12760.0,12780.0,12800.0,-80.0,-60.0,130618.0,836161.5,136164.0,
SS.SHF,20250417,12820.0,12850.0,12845.0,12915.0,12810.0,12845.0,12860.0,-5.0,10.0,136326.0,876674.66,133003.0,
SS.SHF,20250416,12860.0,12830.0,12880.0,12920.0,12775.0,12820.0,12850.0,-10.0,20.0,152774.0,981595.94,134072.0,
SS.SHF,20250415,12805.0,12800.0,12820.0,12870.0,12795.0,12860.0,12830.0,60.0,30.0,118336.0,759248.59,131677.0,
SS.SHF,20250414,12700.0,12695.0,12825.0,12860.0,12735.0,12805.0,12800.0,110.0,105.0,132926.0,850927.89,127087.0,
SS.SHF,20250411,12675.0,12650.0,12680.0,12720.0,12535.0,12700.0,12630.0,50.0,-20.0,76766.0,484836.75,48409.0,
SS.SHF,20250410,12655.0,12710.0,12600.0,12795.0,12445.0,12675.0,12650.0,-35.0,-60.0,162482.0,1027832.39,55764.0,
SS.SHF,20250409,12775.0,12900.0,12760.0,12810.0,12635.0,12655.0,12710.0,-245.0,-190.0,152297.0,968190.05,66977.0,
SS.SHF,20250408,12910.0,12930.0,12910.0,12995.0,12765.0,12775.0,12900.0,-155.0,-30.0,187931.0,1212606.94,72550.0,
SS.SHF,20250407,13430.0,13430.0,12990.0,13030.0,12755.0,12910.0,12930.0,-520.0,-500.0,211247.0,1365914.96,86943.0,
SS.SHF,20250403,13560.0,13555.0,13530.0,13535.0,13370.0,13430.0,13430.0,-125.0,-125.0,185423.0,1245209.7,98312.0,
SS.SHF,20250402,13545.0,13465.0,13555.0,13590.0,13525.0,13560.0,13555.0,95.0,90.0,134040.0,908586.28,110583.0,
SS.SHF,20250401,13365.0,13435.0,13355.0,13585.0,13335.0,13545.0,13465.0,110.0,30.0,221519.0,1491779.76,110753.0,
SS.SHF,20250331,13535.0,13480.0,13535.0,13555.0,13325.0,13365.0,13435.0,-115.0,-45.0,236424.0,1588182.51,117919.0,
SS.SHF,20250328,13440.0,13410.0,13440.0,13565.0,13410.0,13535.0,13480.0,125.0,70.0,206853.0,1394450.88,129740.0,
SS.SHF,20250327,13410.0,13390.0,13405.0,13450.0,13370.0,13440.0,13410.0,50.0,20.0,166912.0,1119306.17,127750.0,
SS.SHF,20250326,13355.0,13360.0,13355.0,13450.0,13345.0,13410.0,13390.0,50.0,30.0,209306.0,1401723.61,132802.0,
SS.SHF,20250325,13390.0,13355.0,13375.0,13420.0,13320.0,13355.0,13360.0,0.0,5.0,164588.0,1099646.62,138991.0,
SS.SHF,20250324,13350.0,13410.0,13350.0,13400.0,13315.0,13390.0,13355.0,-20.0,-55.0,164789.0,1100631.68,142372.0,
SS.SHF,20250321,13430.0,13430.0,13450.0,13470.0,13340.0,13350.0,13410.0,-80.0,-20.0,182272.0,1222200.76,146003.0,
SS.SHF,20250320,13495.0,13465.0,13510.0,13530.0,13370.0,13430.0,13430.0,-35.0,-35.0,199563.0,1340542.79,149366.0,
SS.SHF,20250319,13460.0,13505.0,13490.0,13520.0,13405.0,13495.0,13465.0,-10.0,-40.0,174247.0,1173523.91,153847.0,
SS.SHF,20250318,13650.0,13635.0,13665.0,13665.0,13405.0,13460.0,13505.0,-175.0,-130.0,233850.0,1579630.71,158144.0,
SS.SHF,20250317,13615.0,13620.0,13635.0,13680.0,13595.0,13650.0,13635.0,30.0,15.0,135364.0,922869.28,169785.0,
SS.SHF,20250314,13585.0,13560.0,13580.0,13690.0,13555.0,13615.0,13620.0,55.0,60.0,191834.0,1306489.06,165583.0,
SS.SHF,20250313,13565.0,13505.0,13585.0,13610.0,13515.0,13585.0,13560.0,80.0,55.0,139940.0,949085.07,166065.0,
SS.SHF,20250312,13510.0,13470.0,13520.0,13570.0,13455.0,13565.0,13505.0,95.0,35.0,174162.0,1176408.45,170007.0,
SS.SHF,20250311,13490.0,13445.0,13510.0,13540.0,13390.0,13510.0,13470.0,65.0,25.0,216605.0,1459095.36,166308.0,
SS.SHF,20250310,13385.0,13430.0,13390.0,13515.0,13365.0,13490.0,13445.0,60.0,15.0,243256.0,1635687.24,167409.0,
SS.SHF,20250307,13420.0,13340.0,13450.0,13490.0,13380.0,13385.0,13430.0,45.0,90.0,202061.0,1357136.73,169704.0,
SS.SHF,20250306,13310.0,13250.0,13300.0,13450.0,13230.0,13420.0,13340.0,170.0,90.0,271036.0,1808166.67,170776.0,
SS.SHF,20250305,13245.0,13260.0,13260.0,13310.0,13185.0,13310.0,13250.0,50.0,-10.0,185963.0,1232066.9,154775.0,
SS.SHF,20250304,13250.0,13240.0,13270.0,13325.0,13205.0,13245.0,13260.0,5.0,20.0,180802.0,1198841.1,157244.0,
SS.SHF,20250303,13230.0,13245.0,13225.0,13295.0,13165.0,13250.0,13240.0,5.0,-5.0,185618.0,1228795.57,155720.0,
SS.SHF,20250228,13215.0,13190.0,13240.0,13290.0,13190.0,13230.0,13245.0,40.0,55.0,174557.0,1156083.96,158130.0,
SS.SHF,20250227,13165.0,13125.0,13170.0,13250.0,13155.0,13215.0,13190.0,90.0,65.0,165888.0,1094408.23,158929.0,
SS.SHF,20250226,13130.0,13205.0,13105.0,13185.0,13050.0,13165.0,13125.0,-40.0,-80.0,162673.0,1067561.07,162846.0,
SS.SHF,20250225,13275.0,13230.0,13270.0,13285.0,13120.0,13130.0,13205.0,-100.0,-25.0,188605.0,1245586.69,170512.0,
SS.SHF,20250224,13230.0,13305.0,13220.0,13280.0,13175.0,13275.0,13230.0,-30.0,-75.0,159500.0,1055193.58,175847.0,
SS.SHF,20250221,13245.0,13180.0,13265.0,13375.0,13225.0,13230.0,13305.0,50.0,125.0,206623.0,1374729.42,175145.0,
SS.SHF,20250220,13125.0,13095.0,13115.0,13250.0,13110.0,13245.0,13180.0,150.0,85.0,143354.0,944934.31,161537.0,
SS.SHF,20250219,13065.0,13055.0,13050.0,13155.0,13035.0,13125.0,13095.0,70.0,40.0,123284.0,807386.58,150734.0,
SS.SHF,20250218,13045.0,13060.0,13035.0,13090.0,13025.0,13065.0,13055.0,5.0,-5.0,79255.0,517478.53,150089.0,
SS.SHF,20250217,13090.0,13065.0,13115.0,13140.0,13000.0,13045.0,13060.0,-20.0,-5.0,108507.0,708645.82,147280.0,
SS.SHF,20250214,13230.0,13110.0,13080.0,13120.0,13020.0,13090.0,13065.0,-20.0,-45.0,111743.0,730012.53,139801.0,
SS.SHF,20250213,13160.0,13150.0,13160.0,13340.0,13150.0,13230.0,13260.0,80.0,110.0,105985.0,702868.34,110763.0,
SS.SHF,20250212,13200.0,13230.0,13190.0,13195.0,13110.0,13160.0,13150.0,-70.0,-80.0,57083.0,375403.75,119665.0,
SS.SHF,20250211,13340.0,13340.0,13330.0,13345.0,13135.0,13200.0,13230.0,-140.0,-110.0,108856.0,720217.7,120981.0,
SS.SHF,20250210,13400.0,13405.0,13400.0,13415.0,13270.0,13340.0,13340.0,-65.0,-65.0,97215.0,648596.7,123066.0,
SS.SHF,20250207,13440.0,13405.0,13415.0,13440.0,13370.0,13400.0,13405.0,-5.0,0.0,73788.0,494621.71,125764.0,
SS.SHF,20250206,13370.0,13350.0,13355.0,13475.0,13350.0,13440.0,13405.0,90.0,55.0,94903.0,636321.49,123596.0,
SS.SHF,20250205,13330.0,13255.0,13330.0,13415.0,13265.0,13370.0,13350.0,115.0,95.0,87049.0,581211.73,118641.0,
SS.SHF,20250127,13040.0,13025.0,13060.0,13465.0,13030.0,13330.0,13255.0,305.0,230.0,219963.0,1458058.82,114350.0,
SS.SHF,20250124,13060.0,13070.0,13040.0,13085.0,12975.0,13040.0,13025.0,-30.0,-45.0,134337.0,875193.64,135697.0,
SS.SHF,20250123,13170.0,13160.0,13150.0,13160.0,13015.0,13060.0,13070.0,-100.0,-90.0,134886.0,881691.86,150943.0,
SS.SHF,20250122,13165.0,13100.0,13170.0,13205.0,13110.0,13170.0,13160.0,70.0,60.0,131992.0,868574.87,160031.0,
SS.SHF,20250121,12975.0,13130.0,12985.0,13210.0,12980.0,13165.0,13100.0,35.0,-30.0,198171.0,1298167.43,168711.0,
SS.SHF,20250120,13320.0,13265.0,13330.0,13335.0,12955.0,12975.0,13130.0,-290.0,-135.0,277753.0,1824078.77,186518.0,
